Date,X,GE,APPL,GOOG,F,
1/24/18,39.81,16.16,172.85,1164.24,11.57,
1/25/18,40.09,15.91,169.76,1170.37,11.11,
1/26/18,40.77,15.86,170.16,1175.84,11.19,
1/29/18,40.97,16.00,166.64,1175.58,10.82,
1/30/18,38.44,15.68,165.65,1163.69,10.76,
1/31/18,37.24,15.90,166.11,1169.94,10.67,
2/1/18,36.45,15.75,166.46,1167.70,10.63,
2/2/18,34.43,15.38,159.23,1111.90,10.42,
2/5/18,33.87,14.66,155.26,1055.80,9.96,
2/6/18,35.15,15.01,161.74,1080.60,10.47,
2/7/18,35.17,14.99,158.28,1048.58,10.47,
2/8/18,33.85,14.21,153.93,1001.52,10.15,
2/9/18,34.14,14.69,155.81,1037.78,10.25,
2/12/18,36.11,14.57,162.08,1051.94,10.41,
2/13/18,36.69,14.42,163.71,1052.10,10.30,
2/14/18,38.57,14.65,166.73,1069.70,10.45,
2/15/18,38.87,14.60,172.33,1089.52,10.47,
2/16/18,44.61,14.80,171.77,1094.80,10.32,
2/20/18,44.69,14.49,171.19,1102.46,10.34,
2/21/18,42.73,14.24,170.41,1111.34,10.31,
2/22/18,42.85,14.37,171.84,1106.63,10.34,
2/23/18,43.39,14.36,174.83,1126.79,10.41,
2/26/18,44.23,14.52,178.28,1143.75,10.60,
2/27/18,43.87,14.37,177.70,1118.29,10.32,
2/28/18,43.38,13.99,177.44,1104.73,10.32,
3/1/18,45.87,13.90,174.33,1069.52,10.01,
3/2/18,45.25,14.00,175.53,1078.92,10.12,
3/5/18,44.61,14.29,176.14,1090.93,10.30,
3/6/18,44.39,14.51,175.99,1095.06,10.34,
3/7/18,45.55,14.38,174.36,1109.64,10.34,
3/8/18,44.22,14.39,176.26,1126.00,10.32,
3/9/18,43.56,14.81,179.29,1160.04,10.44,
3/12/18,43.44,14.97,181.02,1164.50,10.52,
3/13/18,40.12,14.30,179.28,1138.17,10.49,
3/14/18,38.26,14.14,177.75,1149.49,10.72,
3/15/18,38.31,14.23,177.96,1149.58,10.77,
3/16/18,39.84,14.18,177.34,1135.73,10.85,
3/19/18,38.94,13.95,174.63,1099.82,10.71,
3/20/18,38.40,13.52,174.57,1097.71,10.69,
3/21/18,38.64,13.76,170.61,1090.88,10.80,
3/22/18,34.39,13.23,168.20,1049.08,10.46,
3/23/18,33.84,12.96,164.31,1021.57,10.28,
3/26/18,35.29,12.78,172.11,1053.21,10.54,
3/27/18,33.57,13.32,167.69,1005.10,10.54,
3/28/18,33.44,13.56,165.84,1004.56,10.57,
3/29/18,35.08,13.36,167.14,1031.79,10.78,
4/2/18,34.12,13.00,166.04,1006.47,10.57,
4/3/18,34.89,13.01,167.74,1013.41,10.85,
4/4/18,34.88,13.16,170.95,1025.14,11.03,
4/5/18,36.50,13.31,172.14,1027.81,11.04,
4/6/18,34.39,12.95,167.73,1007.04,10.88,
4/9/18,34.68,12.72,169.40,1015.45,10.95,
4/10/18,35.77,12.94,172.58,1031.64,11.14,
4/11/18,34.63,12.86,171.78,1019.97,11.12,
4/12/18,35.77,13.06,173.47,1032.51,11.01,
4/13/18,35.40,13.37,174.06,1029.27,10.98,
4/16/18,35.64,13.21,175.14,1037.98,11.07,
4/17/18,36.25,13.67,177.56,1074.16,11.07,
4/18/18,37.39,13.54,177.16,1072.08,11.03,
4/19/18,37.23,13.87,172.14,1087.70,10.81,
